orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-001-7208,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-002-7209,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-003-7210,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-004-7211,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-005-7212,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-006-7213,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-007-7214,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-008-7215,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-009-7216,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-010-7217,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-011-7218,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-012-7219,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-013-7220,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-014-7221,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-015-7222,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-016-7223,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-017-7224,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-018-7225,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-019-7226,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-CHBMntRd-CHB-20250612-020-7227,SWG,LUNCH,1,CHBMntRd,CHB,QBXNAV,20250612,ORDER_491
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-021-7228,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-022-7229,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-023-7230,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-024-7231,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-025-7232,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-026-7233,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-027-7234,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-028-7235,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-029-7236,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-030-7237,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
1,QBXNAV-SWG-LUNCHBOX-LBRC-20250612-031-7238,SWG,LUNCH,1,LUNCHBOX,LBRC,QBXNAV,20250612,ORDER_492
