qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-211
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-221
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-231
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-241
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-251
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-261
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-271
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-281
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-291
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2101
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2111
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2121
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2131
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2141
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_6735617,SIVM,MAA-SWG-A2B-SIVM-20240505-95-2151
